Observations	Fst2Try	Fashnista	PplThnkMe	PplAskMe	FashnMzne	NoBgDeal	NotBld	OnlyBest	ExclsvShop	WhrFrndShop	OtherPpl	MagznNews	Catlg	Internet	Excitbl	Thrfty	Contemp	Rationl	Yuthfl	Orthdx	Modst	Age	ApparelEx	Income	Edu
195	4	4	5	7	6	6	4	5	5	4	5	5	5	4	6	5	6	3	4	4	5	3	3	4	2
196	3	4	6	4	5	6	5	6	4	2	1	3	4	1	6	4	4	7	5	7	4	3	3	1	1
197	1	1	1	2	2	2	1	6	6	2	2	5	6	1	3	6	6	2	6	6	2	3	1	1	1
198	3	5	3	5	2	2	3	5	3	3	6	3	3	2	5	5	2	5	3	6	5	2	2	2	3
199	4	4	4	4	5	1	4	7	5	5	5	6	6	2	3	4	4	2	2	7	4	1	2	2	3
200	6	6	6	6	6	2	2	6	2	2	5	2	5	2	3	6	3	3	4	6	3	1	4	3	3
201	4	7	4	4	5	5	4	7	5	4	6	6	5	3	5	4	4	3	2	5	4	1	2	1	3
202	2	4	4	5	5	1	5	5	6	4	3	4	5	2	3	6	3	7	5	6	3	1	3	1	3
203	1	5	4	1	2	1	6	6	3	3	5	2	2	1	4	5	3	4	3	6	4	3	2	1	1
204	3	3	3	5	7	3	5	5	2	4	1	6	6	1	2	4	6	5	4	7	7	1	2	1	1
205	2	3	3	3	5	2	2	6	4	2	6	5	5	2	4	5	4	3	3	4	4	2	1	4	3
206	1	6	6	5	5	5	7	7	1	1	1	1	1	1	7	4	4	4	7	4	6	4	3	3	1
207	4	4	4	3	2	2	4	7	4	4	5	4	4	4	4	6	4	4	4	7	4	3	3	5	1
208	1	2	3	1	3	3	4	6	5	1	1	4	4	4	2	6	3	1	6	4	1	2	2	3	1
209	1	2	2	5	5	3	6	7	6	1	7	3	5	1	1	5	4	1	1	7	3	1	3	3	3
210	7	6	6	6	7	1	2	7	6	4	5	5	5	5	3	6	2	4	2	6	5	2	1	4	1
211	3	5	5	5	4	3	5	6	3	3	5	5	6	2	5	5	3	2	4	5	4	4	3	4	2
212	1	3	5	5	3	2	6	7	2	2	2	3	1	3	2	6	2	6	2	5	6	2	3	5	2
213	3	6	6	7	7	1	2	5	6	1	6	6	6	6	2	7	4	7	3	7	7	1	5	1	1
214	1	4	4	4	4	3	6	6	4	2	4	5	5	5	2	2	4	6	5	3	2	1	4	2	2
215	1	2	4	6	7	2	3	6	5	1	5	1	5	1	2	4	2	2	6	4	2	1	2	1	1
216	6	7	7	6	7	1	3	5	1	1	5	7	7	1	3	5	1	7	6	5	3	3	3	4	1
217	2	3	2	2	2	2	6	6	5	2	6	3	6	3	2	2	2	2	6	6	4	2	1	2	3
218	5	5	5	2	4	1	5	7	4	2	3	2	4	1	5	5	4	6	7	3	2	1	2	1	3
219	4	4	4	5	6	6	5	7	6	4	4	4	6	4	5	5	5	4	2	5	5	4	1	1	3
220	5	6	6	6	5	2	2	6	2	2	6	5	5	6	2	5	1	1	3	5	4	3	1	5	2
221	5	5	5	5	6	5	5	6	4	5	6	5	5	5	6	5	4	4	4	6	4	3	2	3	2
